0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00
1.020408163265306041e-02,1.005205503419540625e-01,1.020151139132158963e-01
2.040816326530612082e-02,1.020813886701172069e-01,2.038664836577200601e-01
3.061224489795918297e-02,1.046798294192596984e-01,3.053441725067291834e-01
4.081632653061224164e-02,1.083106394833878022e-01,4.061528220763442332e-01
5.102040816326530032e-02,1.129650174331261886e-01,5.058857505689157152e-01
6.122448979591836593e-02,1.186294061753647155e-01,6.040179278829588272e-01
7.142857142857142461e-02,1.252843384398412974e-01,6.999202859936851651e-01
8.163265306122448328e-02,1.329035398769073673e-01,7.928954103425692734e-01
9.183673469387754196e-02,1.414534853948191395e-01,8.822286985998365472e-01
1.020408163265306006e-01,1.508935204663005847e-01,9.672474142339007042e-01
1.122448979591836593e-01,1.611765806173967031e-01,1.047376455993091149e+00
1.224489795918367319e-01,1.722504221402800517e-01,1.122181571251256171e+00
1.326530612244897767e-01,1.840592017845615047e-01,1.191393798074942723e+00
1.428571428571428492e-01,1.965452005764925236e-01,1.254913537537412527e+00
1.530612244897958940e-01,2.096504960339204138e-01,1.312797060176067898e+00
1.632653061224489666e-01,2.233184293204655002e-01,1.365230830292917252e+00
1.734693877551020391e-01,2.374947749557082266e-01,1.412499844182584896e+00
1.836734693877550839e-01,2.521285802502254425e-01,1.454955267475985359e+00
1.938775510204081565e-01,2.671726873240990452e-01,1.492985536622676523e+00
2.040816326530612013e-01,2.825839884943499025e-01,1.526992326934549116e+00
2.142857142857142738e-01,2.983234628316154824e-01,1.557372527812244556e+00
2.244897959183673186e-01,3.143560598997136579e-01,1.584505731809480844e+00
2.346938775510203912e-01,3.306504790437828079e-01,1.608746358542930244e+00
2.448979591836734637e-01,3.471788882428963885e-01,1.630419417067429100e+00
2.551020408163265363e-01,3.639166142295225392e-01,1.649818941740431200e+00
2.653061224489795533e-01,3.808418271420608292e-01,1.667208257951045436e+00
2.755102040816326259e-01,3.979352331231666984e-01,1.682821404616639427e+00
2.857142857142856984e-01,4.151797855169754303e-01,1.696865268695979978e+00
2.959183673469387710e-01,4.325604204978958367e-01,1.709522018291454559e+00
3.061224489795917880e-01,4.500638178338650652e-01,1.720951627191420918e+00
3.163265306122448606e-01,4.676781870600230095e-01,1.731294351156343669e+00
3.265306122448979331e-01,4.853930782177957592e-01,1.740673058470659340e+00
3.367346938775510057e-01,5.031992155319923166e-01,1.749195363384279167e+00
3.469387755102040782e-01,5.210883517910623874e-01,1.756955544375487621e+00
3.571428571428570953e-01,5.390531411246665128e-01,1.764036258174549454e+00
3.673469387755101678e-01,5.570870283232298714e-01,1.770510035235734803e+00
3.775510204081632404e-01,5.751841522927682027e-01,1.776440613848898620e+00
3.877551020408163129e-01,5.933392623571486224e-01,1.781884077833878477e+00
3.979591836734693300e-01,6.115476454416398644e-01,1.786889854735571381e+00
4.081632653061224025e-01,6.298050625788146339e-01,1.791501581134170351e+00
4.183673469387754751e-01,6.481076937201366572e-01,1.795757847618146164e+00
4.285714285714285476e-01,6.664520896538369543e-01,1.799692845088072257e+00
4.387755102040816202e-01,6.848351300287471854e-01,1.803336921937193971e+00
4.489795918367346372e-01,7.032539866343822110e-01,1.806717066621448264e+00
4.591836734693877098e-01,7.217060912929180727e-01,1.809857324987326876e+00
4.693877551020407823e-01,7.401891077898732352e-01,1.812779160176263282e+00
4.795918367346938549e-01,7.587009073523357516e-01,1.815501762681663633e+00
4.897959183673469274e-01,7.772395461919023862e-01,1.818042331804365253e+00
5.000000000000000000e-01,7.958032462510379323e-01,1.820416313134152198e+00
